:START_ID,:END_ID,:TYPE
researchgraph.org/ands/http://acef.tern.org.au/DrAndySteven,researchgraph.org/ands/dixVvbpqjA1te4wsPieS6zGgZqwv0qS3zfOVh4bqu2KzW7RCfWlc,hasAssociationWith
researchgraph.org/ands/http://acef.tern.org.au/CSIROMarineandAtmosphericResearch,researchgraph.org/ands/dixVvbpqjA1te4wsPieS6zGgZqwv0qS3zfOVh4bqu2KzW7RCfWlc,hasAssociationWith
researchgraph.org/ands/http://acef.tern.org.au/5935f698-5653-447b-a3a9-8a4934eb76f7,researchgraph.org/ands/dixVvbpqjA1te4wsPieS6zGgZqwv0qS3zfOVh4bqu2KzW7RCfWlc,hasAssociationWith
researchgraph.org/ands/http://acef.tern.org.au/CommonwealthScientificandIndustrialResearchOrganisation(CSIRO),researchgraph.org/ands/dixVvbpqjA1te4wsPieS6zGgZqwv0qS3zfOVh4bqu2KzW7RCfWlc,hasAssociationWith
researchgraph.org/ands/http://acef.tern.org.au/cc7e4fb0-ae3c-40b9-9af3-c29d575bc1bc,researchgraph.org/ands/dixVvbpqjA1te4wsPieS6zGgZqwv0qS3zfOVh4bqu2KzW7RCfWlc,hasAssociationWith
researchgraph.org/ands/http://acef.tern.org.au/1c77a89f-a315-487d-bd35-3345a6f9c48f,researchgraph.org/ands/dixVvbpqjA1te4wsPieS6zGgZqwv0qS3zfOVh4bqu2KzW7RCfWlc,hasAssociationWith
"researchgraph.org/ands/http://acef.tern.org.au/QueenslandDepartmentofScience,InformationTechnology,InnovationandtheArts",researchgraph.org/ands/dixVvbpqjA1te4wsPieS6zGgZqwv0qS3zfOVh4bqu2KzW7RCfWlc,hasAssociationWith
researchgraph.org/ands/C-TERN-NC-ACEF,researchgraph.org/ands/dixVvbpqjA1te4wsPieS6zGgZqwv0qS3zfOVh4bqu2KzW7RCfWlc,hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.14555,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.14556,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.14558,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.14868,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.13587,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.13757,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.14493,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.14937,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.14938,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.14940,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.15435,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.15440,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.15584,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.15585,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.15599,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.15600,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.15604,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.15605,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.15606,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.15610,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.15613,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.15614,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.15615,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.15623,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.15624,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.15625,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.15626,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.15628,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.15635,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.15636,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.15637,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.15638,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.15639,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.15640,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.15641,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.15642,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.15646,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.15647,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.15648,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.15649,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.15690,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.15692,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.15695,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.15696,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.15697,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.15701,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.15702,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.15703,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
